id,resume_url,has_fnb_experience,has_retail_experience,relevant_experience_years,has_waiter_or_service_role,has_baker_or_cake_decorator_role,has_retail_supervisor_role,has_sales_assistant_role
1609399,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/642ddb399a1f8551b042e9a2f99287caf4cdfc5f11e1d74ade0df4800ef4e565.pdf,-,-,-,-,-,-,-
1609768,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/19873fb735dbb8ed3a550445e33971dbb74f99f331e7c76aea1ee75ebec670e1.pdf,FALSE,TRUE,2,FALSE,FALSE,FALSE,FALSE
1611898,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/9d4aeeebb438fb4840c2e93e189bf87cbf6c9987f59cc49e71c727a525aad87e.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1615751,,-,-,-,-,-,-,-
1615798,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/1f1b557d89a5d78313016ba4d65d8ed1165cb8a248c1f50cd4d983deb2446152.pdf,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1618129,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/88854ca0-f280-4b01-8b28-42a596e1ff3c.pdf,FALSE,TRUE,3,FALSE,FALSE,FALSE,FALSE
1622278,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/88c30e8ce91e603860e222e50fa1147c2a89410bb514c9f3fcfa9cb3ca6f2011.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1624150,,-,-,-,-,-,-,-
1624531,,-,-,-,-,-,-,-
1625916,,-,-,-,-,-,-,-
1626809,,-,-,-,-,-,-,-
1627403,,-,-,-,-,-,-,-
1627621,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/6f3306dc1137902a3d300436274fe8e90837541ad66746a4691520fabc293a70.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1627897,,-,-,-,-,-,-,-
1628589,,-,-,-,-,-,-,-
1633278,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/2830071ebd9db2bb48d10500d85dda1388685518f52f6a304e16ebbea534fa7e.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1634596,,-,-,-,-,-,-,-
1635105,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/d4541309b65c2ac0e100bef1a4b7ca3217ec3d3a44a5b378f3bce7480587a6e7.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1635451,,-,-,-,-,-,-,-
1636714,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/70cdb6c33b97be232f66c7f23861770183a39e5aeaaac1ebd09ee2b41bfd1437.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1636978,,-,-,-,-,-,-,-
1637801,,-,-,-,-,-,-,-
1638019,,-,-,-,-,-,-,-
1642315,,-,-,-,-,-,-,-
1643507,,-,-,-,-,-,-,-
1643666,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/ff744d97b551ef38ffe44adf6b05b7956817bc482f5921a60077d3b95c5c643e.pdf,FALSE,TRUE,0,TRUE,FALSE,FALSE,FALSE
1653096,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/98730218dcb3aa5247f3ef09d41ef0995c0b3733ea20979765ed51bcb3f0a5eb.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1654738,,-,-,-,-,-,-,-
1656104,,-,-,-,-,-,-,-
1658855,,-,-,-,-,-,-,-
1662111,,-,-,-,-,-,-,-
1664820,,-,-,-,-,-,-,-
1672380,,-,-,-,-,-,-,-
1676827,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/fe50386e984116747be1089fc1df4015a880d747571648afec89ef42c064900d.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1677861,,-,-,-,-,-,-,-
1678536,,-,-,-,-,-,-,-
1679028,,-,-,-,-,-,-,-
1681725,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/703670a7a3b82d83506ff64faf756c3c8a57dd90fb6c0f083171ad8f8ec0d364.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1685478,,-,-,-,-,-,-,-
1686308,,-,-,-,-,-,-,-
1686968,,-,-,-,-,-,-,-
1686990,,-,-,-,-,-,-,-
1687194,,-,-,-,-,-,-,-
1687220,,-,-,-,-,-,-,-
1688148,,-,-,-,-,-,-,-
1688292,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/57726da06aa480288dc08bf16ad2e51437a9071e4a132be97b0dd2ac192f4f6f.pdf,TRUE,TRUE,8,FALSE,FALSE,TRUE,FALSE
1692074,,-,-,-,-,-,-,-
1695226,,-,-,-,-,-,-,-
1696343,,-,-,-,-,-,-,-
1696647,,-,-,-,-,-,-,-
1697350,,-,-,-,-,-,-,-
1697747,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/bfe5adc578be5325cfb328a07fb26a394e07eaf2b342be1240dd59d45a575e73.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1701031,,-,-,-,-,-,-,-
1701056,,-,-,-,-,-,-,-
1701223,,-,-,-,-,-,-,-
1702180,,-,-,-,-,-,-,-
1702596,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/81f4c69facb287f602fe7d9cfc42e827a2f5850c0cc3d004776450e5dcc6778d.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1702737,,-,-,-,-,-,-,-
1704474,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/73b4f317e207339d13c5bafa2b26d477cce6104965503b03edc2c5c0752ba56b.pdf,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1704977,,-,-,-,-,-,-,-
1709449,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/aa8e70bedb59e2345fd0c5ffa7e4f0eb02db311684def9dc306e7f6f7d596e4b.pdf,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE
1710086,https://flutter-uploads-production.s3-ap-southeast-1.amazonaws.com/gogetter_resume/9bfa1a2a757ed62d8aaacb0d061e6909da5bd8be70169fe39770fcebad425f65.pdf,TRUE,FALSE,2,FALSE,FALSE,FALSE,FALSE
